Epoch	Loss	Class_Loss	Frame_Loss	Train_acc	Test_acc	Learning_rate
1	0.9720	0.9240	0.0480	0.6666	0.6831	0.00015969870424525505
2	0.6843	0.6787	0.0056	0.7444	0.7406	0.00015879811804035934
3	0.6122	0.6076	0.0046	0.7686	0.7312	0.00015730810839623347
4	0.5547	0.5502	0.0044	0.7896	0.7305	0.00015524500017034305
5	0.5029	0.4989	0.0040	0.8097	0.7602	0.00015263139720814417
6	0.4545	0.4513	0.0032	0.8283	0.7532	0.00014949593469062213
7	0.4127	0.4099	0.0028	0.8456	0.7347	0.0001458729654012567
8	0.3790	0.3764	0.0026	0.8568	0.7239	0.00014180218334973723
9	0.3478	0.3456	0.0022	0.8705	0.7340	0.00013732818887608603
10	0.3227	0.3207	0.0020	0.8800	0.7269	0.00013250000000000002
11	0.2962	0.2946	0.0016	0.8903	0.7210	0.00012737051536916905
12	0.2762	0.2748	0.0014	0.8968	0.7282	0.00012199593469062211
13	0.2584	0.2570	0.0014	0.9040	0.7325	0.00011643514299497677
14	0.2395	0.2383	0.0012	0.9112	0.7412	0.00011074906547972095
15	0.2240	0.2229	0.0011	0.9173	0.7281	0.00010500000000000003
16	0.2094	0.2084	0.0010	0.9229	0.7355	9.925093452027909e-05
17	0.1955	0.1945	0.0009	0.9274	0.7377	9.356485700502324e-05
18	0.1841	0.1832	0.0009	0.9318	0.7334	8.800406530937791e-05
19	0.1716	0.1709	0.0007	0.9361	0.7165	8.262948463083101e-05
20	0.1615	0.1608	0.0007	0.9399	0.7209	7.750000000000001e-05
21	0.1503	0.1497	0.0006	0.9445	0.7432	7.267181112391399e-05
22	0.1423	0.1418	0.0005	0.9471	0.7218	6.819781665026282e-05
23	0.1345	0.1340	0.0005	0.9507	0.7305	6.412703459874334e-05
24	0.1282	0.1277	0.0004	0.9528	0.7145	6.05040653093779e-05
25	0.1207	0.1203	0.0004	0.9554	0.7387	5.7368602791855876e-05
26	0.1135	0.1131	0.0004	0.9582	0.7272	5.475499982965695e-05
27	0.1093	0.1089	0.0004	0.9596	0.7325	5.269189160376656e-05
28	0.1057	0.1054	0.0003	0.9611	0.7314	5.120188195964069e-05
29	0.1005	0.1002	0.0003	0.9628	0.7346	5.0301295754744966e-05
30	0.0975	0.0972	0.0003	0.9636	0.7282	0.00016
