Epoch	Loss	Train_acc	Test_acc	Learning_rate
1	1.0062	0.6409	0.5960	0.0003192604558747169
2	0.6227	0.7671	0.6602	0.0003170499260990638
3	0.4951	0.8165	0.5917	0.00031339262969984577
4	0.4123	0.8474	0.5618	0.0003083286367817511
5	0.3596	0.8666	0.5848	0.00030191342951089924
6	0.3147	0.8838	0.6688	0.0002942172942406179
7	0.2896	0.8927	0.6742	0.00028532455143944824
8	0.2592	0.9037	0.6602	0.00027533263185844587
9	0.2406	0.9111	0.6555	0.00026435100905948387
10	0.2137	0.9202	0.6718	0.0002525
11	0.1982	0.9259	0.6460	0.00023990944681523304
12	0.1833	0.9317	0.6544	0.0002267172942406179
13	0.1668	0.9380	0.6252	0.0002130680782603975
14	0.1540	0.9426	0.6689	0.00019911134254113323
15	0.1397	0.9483	0.6692	0.00018500000000000002
16	0.1297	0.9515	0.6433	0.00017088865745886682
17	0.1172	0.9557	0.6709	0.0001569319217396025
18	0.1079	0.9594	0.6717	0.00014328270575938212
19	0.1012	0.9619	0.6744	0.000130090553184767
20	0.0918	0.9653	0.6511	0.00011750000000000004
21	0.0849	0.9677	0.6943	0.00010564899094051614
22	0.0762	0.9710	0.6764	9.466736814155418e-05
23	0.0695	0.9733	0.6689	8.46754485605518e-05
24	0.0646	0.9750	0.6639	7.578270575938212e-05
25	0.0601	0.9770	0.6680	6.808657048910078e-05
26	0.0546	0.9787	0.6695	6.167136321824887e-05
27	0.0525	0.9794	0.6685	5.660737030015428e-05
28	0.0481	0.9813	0.6662	5.295007390093623e-05
29	0.0461	0.9815	0.6893	5.0739544125283096e-05
30	0.0443	0.9823	0.6768	0.00032
