Epoch	Loss	Train_acc	Test_acc	Learning_rate
1	1.1041	0.6127	0.6957	0.0003192604558747169
2	0.8157	0.6992	0.7113	0.0003170499260990638
3	0.7277	0.7266	0.7022	0.00031339262969984577
4	0.6645	0.7495	0.6708	0.0003083286367817511
5	0.6144	0.7685	0.6856	0.00030191342951089924
6	0.5711	0.7861	0.6962	0.0002942172942406179
7	0.5338	0.8005	0.6938	0.00028532455143944824
8	0.4991	0.8142	0.6746	0.00027533263185844587
9	0.4688	0.8268	0.6976	0.00026435100905948387
10	0.4406	0.8368	0.6874	0.0002525
11	0.4175	0.8450	0.7099	0.00023990944681523304
12	0.3936	0.8544	0.7075	0.0002267172942406179
13	0.3712	0.8621	0.6903	0.0002130680782603975
14	0.3520	0.8693	0.7006	0.00019911134254113323
15	0.3349	0.8751	0.7112	0.00018500000000000002
16	0.3148	0.8831	0.7114	0.00017088865745886682
17	0.2987	0.8887	0.7218	0.0001569319217396025
18	0.2846	0.8943	0.6785	0.00014328270575938212
19	0.2660	0.9012	0.7034	0.000130090553184767
20	0.2537	0.9050	0.7024	0.00011750000000000004
21	0.2398	0.9095	0.7041	0.00010564899094051614
22	0.2265	0.9149	0.7159	9.466736814155418e-05
23	0.2145	0.9199	0.6895	8.46754485605518e-05
24	0.2022	0.9236	0.6893	7.578270575938212e-05
25	0.1911	0.9286	0.6952	6.808657048910078e-05
26	0.1834	0.9314	0.7028	6.167136321824887e-05
27	0.1750	0.9352	0.7136	5.660737030015428e-05
28	0.1685	0.9362	0.7092	5.295007390093623e-05
29	0.1634	0.9381	0.6967	5.0739544125283096e-05
30	0.1568	0.9409	0.6915	0.00032
