Epoch	Loss	Train_acc	Test_acc	Learning_rate
1	0.9860	0.6476	0.6377	0.0003192604558747169
2	0.6936	0.7405	0.7041	0.0003170499260990638
3	0.5940	0.7769	0.7009	0.00031339262969984577
4	0.5160	0.8076	0.6418	0.0003083286367817511
5	0.4641	0.8287	0.6936	0.00030191342951089924
6	0.4145	0.8458	0.7125	0.0002942172942406179
7	0.3846	0.8577	0.7040	0.00028532455143944824
8	0.3552	0.8682	0.7013	0.00027533263185844587
9	0.3277	0.8791	0.6809	0.00026435100905948387
10	0.3057	0.8878	0.6984	0.0002525
11	0.2847	0.8950	0.6933	0.00023990944681523304
12	0.2694	0.8999	0.7225	0.0002267172942406179
13	0.2505	0.9071	0.7129	0.0002130680782603975
14	0.2345	0.9132	0.7213	0.00019911134254113323
15	0.2169	0.9199	0.7150	0.00018500000000000002
16	0.2011	0.9255	0.7231	0.00017088865745886682
17	0.1871	0.9306	0.7320	0.0001569319217396025
18	0.1782	0.9339	0.7145	0.00014328270575938212
19	0.1634	0.9402	0.7053	0.000130090553184767
20	0.1510	0.9441	0.7101	0.00011750000000000004
21	0.1425	0.9470	0.7227	0.00010564899094051614
22	0.1328	0.9503	0.7189	9.466736814155418e-05
23	0.1239	0.9540	0.7168	8.46754485605518e-05
24	0.1164	0.9568	0.7078	7.578270575938212e-05
25	0.1093	0.9592	0.7224	6.808657048910078e-05
26	0.0998	0.9625	0.7148	6.167136321824887e-05
27	0.0958	0.9640	0.7208	5.660737030015428e-05
28	0.0908	0.9656	0.7097	5.295007390093623e-05
29	0.0862	0.9673	0.7245	5.0739544125283096e-05
30	0.0830	0.9686	0.7186	0.00032
