Epoch	Loss	Train_acc	Test_acc	Learning_rate
1	1.2316	0.5766	0.6801	0.0003192604558747169
2	0.8875	0.6737	0.6262	0.0003170499260990638
3	0.8124	0.6939	0.6810	0.00031339262969984577
4	0.7607	0.7136	0.7066	0.0003083286367817511
5	0.7130	0.7293	0.6936	0.00030191342951089924
6	0.6833	0.7413	0.7148	0.0002942172942406179
7	0.6511	0.7524	0.6929	0.00028532455143944824
8	0.6265	0.7621	0.6986	0.00027533263185844587
9	0.6004	0.7715	0.7185	0.00026435100905948387
10	0.5742	0.7823	0.7041	0.0002525
11	0.5484	0.7929	0.7115	0.00023990944681523304
12	0.5252	0.8012	0.7211	0.0002267172942406179
13	0.5048	0.8101	0.6634	0.0002130680782603975
14	0.4808	0.8192	0.7061	0.00019911134254113323
15	0.4603	0.8290	0.7290	0.00018500000000000002
16	0.4372	0.8369	0.7046	0.00017088865745886682
17	0.4210	0.8443	0.6981	0.0001569319217396025
18	0.4038	0.8510	0.6895	0.00014328270575938212
19	0.3832	0.8593	0.6984	0.000130090553184767
20	0.3704	0.8644	0.7204	0.00011750000000000004
21	0.3551	0.8694	0.7213	0.00010564899094051614
22	0.3394	0.8758	0.7105	9.466736814155418e-05
23	0.3247	0.8810	0.7163	8.46754485605518e-05
24	0.3141	0.8845	0.7300	7.578270575938212e-05
25	0.3012	0.8908	0.7210	6.808657048910078e-05
26	0.2925	0.8929	0.7010	6.167136321824887e-05
27	0.2854	0.8958	0.7218	5.660737030015428e-05
28	0.2740	0.8994	0.7081	5.295007390093623e-05
29	0.2668	0.9040	0.7247	5.0739544125283096e-05
30	0.2637	0.9042	0.7214	0.00032
