Epoch	Loss	Train_acc	Test_acc	Learning_rate
1	1.1038	0.6137	0.6999	0.0003192604558747169
2	0.7762	0.7111	0.7167	0.0003170499260990638
3	0.6948	0.7383	0.6856	0.00031339262969984577
4	0.6366	0.7603	0.7282	0.0003083286367817511
5	0.5840	0.7814	0.7168	0.00030191342951089924
6	0.5351	0.8009	0.6907	0.0002942172942406179
7	0.5005	0.8144	0.7050	0.00028532455143944824
8	0.4657	0.8272	0.7242	0.00027533263185844587
9	0.4367	0.8382	0.7096	0.00026435100905948387
10	0.4095	0.8491	0.7008	0.0002525
11	0.3858	0.8582	0.7136	0.00023990944681523304
12	0.3626	0.8670	0.7284	0.0002267172942406179
13	0.3457	0.8730	0.6798	0.0002130680782603975
14	0.3244	0.8806	0.7030	0.00019911134254113323
15	0.3083	0.8868	0.7186	0.00018500000000000002
16	0.2921	0.8925	0.7210	0.00017088865745886682
17	0.2781	0.8973	0.7129	0.0001569319217396025
18	0.2642	0.9033	0.7223	0.00014328270575938212
19	0.2465	0.9092	0.7284	0.000130090553184767
20	0.2348	0.9138	0.7253	0.00011750000000000004
21	0.2241	0.9182	0.7114	0.00010564899094051614
22	0.2105	0.9213	0.7143	9.466736814155418e-05
23	0.1986	0.9267	0.7199	8.46754485605518e-05
24	0.1895	0.9308	0.7108	7.578270575938212e-05
25	0.1808	0.9334	0.7308	6.808657048910078e-05
26	0.1727	0.9362	0.7067	6.167136321824887e-05
27	0.1650	0.9389	0.7277	5.660737030015428e-05
28	0.1577	0.9421	0.7162	5.295007390093623e-05
29	0.1530	0.9429	0.7215	5.0739544125283096e-05
30	0.1497	0.9450	0.7241	0.00032
