Epoch	Total_Loss	Class_Loss	Frame_Loss	Train_acc	Test_acc	Learning_rate
1	1.3320	1.2723	0.0597	0.5514	0.7062	0.00015969870424525505
2	0.7179	0.7090	0.0089	0.7339	0.7095	0.00015879811804035934
3	0.5354	0.5293	0.0061	0.8006	0.6952	0.00015730810839623347
4	0.4224	0.4166	0.0058	0.8440	0.7052	0.00015524500017034305
5	0.3561	0.3514	0.0047	0.8687	0.7182	0.00015263139720814417
6	0.3058	0.3021	0.0037	0.8873	0.6997	0.00014949593469062213
7	0.2738	0.2696	0.0042	0.9002	0.7051	0.0001458729654012567
8	0.2453	0.2415	0.0037	0.9095	0.6947	0.00014180218334973723
9	0.2199	0.2169	0.0030	0.9188	0.6871	0.00013732818887608603
10	0.2026	0.1995	0.0031	0.9261	0.6969	0.00013250000000000002
11	0.1865	0.1836	0.0029	0.9321	0.7047	0.00012737051536916905
12	0.1719	0.1689	0.0029	0.9375	0.6980	0.00012199593469062211
13	0.1537	0.1511	0.0026	0.9438	0.6984	0.00011643514299497677
14	0.1469	0.1443	0.0026	0.9457	0.6999	0.00011074906547972095
15	0.1343	0.1318	0.0025	0.9510	0.6943	0.00010500000000000003
16	0.1236	0.1216	0.0021	0.9547	0.7038	9.925093452027909e-05
17	0.1148	0.1131	0.0017	0.9573	0.6997	9.356485700502324e-05
18	0.1054	0.1036	0.0018	0.9611	0.6936	8.800406530937791e-05
19	0.0984	0.0968	0.0016	0.9637	0.7015	8.262948463083101e-05
20	0.0906	0.0893	0.0013	0.9661	0.6901	7.750000000000001e-05
21	0.0835	0.0822	0.0013	0.9692	0.6944	7.267181112391399e-05
22	0.0777	0.0765	0.0012	0.9711	0.7013	6.819781665026282e-05
23	0.0727	0.0717	0.0010	0.9730	0.7028	6.412703459874334e-05
24	0.0682	0.0672	0.0010	0.9740	0.6844	6.05040653093779e-05
25	0.0630	0.0622	0.0009	0.9764	0.7034	5.7368602791855876e-05
26	0.0592	0.0585	0.0008	0.9777	0.6958	5.475499982965695e-05
27	0.0567	0.0559	0.0008	0.9791	0.6969	5.269189160376656e-05
28	0.0526	0.0520	0.0006	0.9806	0.6986	5.120188195964069e-05
29	0.0523	0.0517	0.0006	0.9806	0.6891	5.0301295754744966e-05
30	0.0486	0.0480	0.0005	0.9820	0.6880	0.00016
