Epoch	Loss	Train_acc	Test_acc	Learning_rate
1	1.9265	0.3516	0.6146	0.0003192604558747169
2	1.0106	0.6376	0.6784	0.0003170499260990638
3	0.8166	0.6981	0.6514	0.00031339262969984577
4	0.7003	0.7383	0.6753	0.0003083286367817511
5	0.6012	0.7756	0.6770	0.00030191342951089924
6	0.5296	0.8047	0.6748	0.0002942172942406179
7	0.4687	0.8263	0.6765	0.00028532455143944824
8	0.4222	0.8435	0.6776	0.00027533263185844587
9	0.3826	0.8589	0.6798	0.00026435100905948387
10	0.3473	0.8717	0.6770	0.0002525
11	0.3164	0.8830	0.6742	0.00023990944681523304
12	0.2905	0.8931	0.6739	0.0002267172942406179
13	0.2655	0.9021	0.6679	0.0002130680782603975
14	0.2441	0.9093	0.6629	0.00019911134254113323
15	0.2201	0.9185	0.6837	0.00018500000000000002
16	0.2027	0.9252	0.6834	0.00017088865745886682
17	0.1831	0.9325	0.6780	0.0001569319217396025
18	0.1686	0.9380	0.6646	0.00014328270575938212
19	0.1526	0.9440	0.6795	0.000130090553184767
20	0.1367	0.9498	0.6739	0.00011750000000000004
21	0.1255	0.9532	0.6786	0.00010564899094051614
22	0.1142	0.9574	0.6735	9.466736814155418e-05
23	0.1059	0.9603	0.6764	8.46754485605518e-05
24	0.0961	0.9644	0.6762	7.578270575938212e-05
25	0.0865	0.9676	0.6843	6.808657048910078e-05
26	0.0802	0.9699	0.6717	6.167136321824887e-05
27	0.0738	0.9722	0.6758	5.660737030015428e-05
28	0.0703	0.9737	0.6660	5.295007390093623e-05
29	0.0656	0.9752	0.6818	5.0739544125283096e-05
30	0.0643	0.9756	0.6777	0.00032
